36,43,67,122,270,568,1186,2290,4478,8931,17928,35801,71546,143719,293789,578492,1146531,2290781,4612849,9271159,18621223,37897076,76159440,
40,48,68,124,262,604,1110,2213,4389,8898,18020,37033,73342,145980,291682,573380,1186989,2452913,4757861,9383514,19019901,39335742,79546393,
64,76,121,279,284,662,1202,2392,5015,9752,19753,39456,78115,157375,314168,640770,1256809,2428558,4871250,9745169,18916897,37576144,74832260,
77,70,104,156,297,650,1119,2246,4420,8964,18022,35987,71575,143624,291061,571708,1148087,2326198,4619691,9137161,18316450,37131348,74356232,
-1,139,174,235,382,692,1197,2370,4529,8893,18091,35818,74178,144093,286831,577046,1139601,2331263,4611932,9407481,18879275,38392104,77757920,
-1,-1,319,461,662,1025,1716,2879,5483,10697,21271,41192,79733,159254,314909,665493,1301998,2625775,5078357,9976386,20123014,40048605,80675630,
-1,440,535,619,770,1142,1658,2861,5308,10236,20130,40166,78970,158405,315391,629788,1269737,2519270,4984617,10045597,20397721,40123387,80717341,
-1,1007,1158,1277,1472,1863,2485,3806,6482,10755,20185,40181,81127,160540,313540,624311,1254112,2526559,5067502,9686724,18623012,38650184,75619204,
-1,-1,-1,1865,1894,2330,2710,3857,6300,10840,19670,37349,74735,147100,289326,587156,1157061,2310221,4610790,9220224,18379967,36891399,74463037,
-1,-1,-1,-1,4068,4456,4552,5914,8510,13320,23237,42611,81246,156755,315732,629104,1240572,2332395,4659466,9456276,18481977,37376012,74453785,
-1,-1,-1,-1,6761,6931,7990,8577,11090,15584,25558,42931,81337,151803,315917,625330,1240461,2437318,4632673,9358876,19296788,38143860,75337337,
-1,-1,-1,-1,12957,13278,14721,15077,17729,22205,31931,51136,86624,157644,303888,589202,1180809,2326393,4615952,9238889,18756460,37350410,76428541,
-1,-1,-1,-1,25478,27340,27878,29387,29621,36575,45029,62510,102388,171637,324084,607967,1183104,2342002,4686554,9318671,18434279,38854870,79480479,
-1,-1,70896,57485,59071,61349,57531,61024,60818,68892,80141,95300,135352,207415,353327,648877,1251975,2394974,4759750,10014039,19549897,38801106,75444760,
-1,-1,137649,105487,112542,111793,101208,107650,102469,111787,127176,139414,194241,268734,428005,734762,1361679,2582965,4951093,9883600,19489326,39114549,79571413,
-1,-1,-1,-1,229342,227180,224189,232508,233824,238290,255925,272021,318057,387357,540380,855699,1482115,2721225,5209113,10143099,20127815,39925478,79966633,
-1,-1,-1,463556,470905,467511,456274,470045,462744,460305,481707,493018,552195,611344,757242,1052554,1681931,2941865,5459139,10270383,20164197,39660703,79437565,
-1,-1,-1,864689,882428,891985,875830,863868,888309,885187,929345,907779,996372,1064496,1163463,1476588,2087123,3368900,5806357,10592904,20230358,39565813,78829096,
-1,-1,-1,-1,1791793,1718466,1726831,1771919,1775901,1755252,1828542,1797280,1980781,1916384,2082773,2426238,2993892,4197358,6576021,11802394,21595556,40452531,
-1,-1,-1,-1,-1,3581297,3613269,3585152,3545506,3586134,3789799,3757305,3965476,3791467,3921781,4280522,4962645,6152969,8707905,13351440,22988981,42489223,
-1,-1,-1,-1,7151044,7158289,7149739,7203226,7011490,6993863,7339626,7119771,7484877,7218361,7330466,7652973,8435094,9860023,12318000,17278983,26339367,45740391,
-1,-1,-1,-1,14272331,14135288,14297264,14230278,14103843,14140560,14804896,14597429,15437411,14548866,14534026,14880917,15323213,16699781,19100183,23712814,33570709,53036702,
-1,-1,-1,28690492,29265116,28998453,29064629,28311016,28492377,28797308,29750705,29472639,29988642,28508578,28574677,28884120,29574235,30590097,



























