27,23,33,23,45,50,52,59,72,80,92,170,240,259,419,949,2274,3549,6728,16618,42343,103880,287296,
70,30,31,24,38,50,47,66,75,57,95,151,173,289,482,891,1667,3508,6633,15933,41412,103541,391399,
34,30,31,46,43,42,62,63,72,82,94,115,145,208,450,1120,1741,3682,6677,16187,43410,115722,279733,
92,41,42,43,49,49,65,67,61,83,94,165,139,201,454,962,1744,3400,6687,16869,42417,90847,322749,
69,45,48,38,50,55,55,58,72,84,87,193,221,240,411,947,1677,3440,6787,15989,41666,104310,299196,
62,48,48,42,44,50,49,65,72,78,89,240,147,248,389,909,1620,3330,6694,16377,41610,102042,291963,
-1,57,57,54,62,62,77,70,69,80,69,169,224,293,401,1155,1700,3376,6580,15594,43068,101199,307345,
-1,48,48,49,57,54,53,59,66,70,80,293,208,231,392,900,1688,3474,6622,16316,43341,100569,280063,
-1,-1,-1,66,61,68,63,64,85,86,90,161,199,288,399,944,1742,3784,6377,16036,43967,100707,286244,
-1,56,56,58,64,71,71,70,131,86,82,175,233,251,389,862,1647,3230,6652,16118,42752,107304,289625,
-1,-1,61,79,71,105,63,86,84,82,128,113,115,261,409,896,1607,3250,6486,15986,40906,102218,279985,
-1,-1,69,80,88,85,184,180,155,250,77,238,208,288,384,906,1684,3323,6807,14907,42559,105427,276836,
-1,-1,-1,-1,235,215,162,181,195,209,229,196,232,245,391,921,1738,3574,6536,15281,39646,102703,276561,
-1,216,221,215,163,251,204,90,195,269,106,177,342,255,425,936,1747,3442,6488,15836,41172,108141,280613,
-1,-1,184,229,161,189,111,235,244,302,229,273,254,259,431,1164,1815,3783,7037,16206,40841,97117,299139,
-1,-1,-1,223,238,309,192,248,312,278,165,210,237,288,497,947,1806,3363,7178,15333,41780,97698,275390,
-1,-1,-1,188,235,190,142,209,200,231,229,149,272,379,442,955,1714,3115,6714,14677,38255,98362,284399,
-1,-1,-1,155,263,212,233,277,263,269,218,244,241,268,512,986,1770,3283,6531,16926,41052,102837,298627,
-1,-1,-1,-1,236,265,281,205,176,231,230,178,340,301,516,1061,1788,3415,6633,14974,38572,104357,
-1,-1,-1,-1,286,246,215,276,244,209,231,270,272,309,484,947,1777,3261,6580,14847,39500,99556,
-1,-1,-1,301,312,310,224,271,340,308,319,287,380,440,506,993,1794,3294,6520,15878,43407,97071,
-1,-1,-1,-1,415,285,279,239,207,281,228,256,405,453,491,1018,1850,3435,6298,15516,41804,90803,
-1,-1,-1,240,329,375,267,330,318,280,229,358,371,359,516,1342,1811,3269,



























